COLUMBIA,SC,29030,,,,,,,,,,,,,,,,,,,,,,,
CHARLESTON,SC,29410,,,,,,,,,,,,,,,,,,,,,,,
ROCHESTER,NY,14414,,,,,,,,,,,,,,,,,,,,,,,
ALBANY,GA,31624,,,,,,,,,,,,,,,,,,,,,,,
COLUMBUS,AL,36016,,,,,,,,,,,,,,,,,,,,,,,
COLUMBUS,OH,45701,,,,,,,,,,,,,,,,,,,,,,,
JACKSON,TN,38201,,,,,,,,,,,,,,,,,,,,,,,
JACKSON,MS,39120,,,,,,,,,,,,,,,,,,,,,,,
TRI-CITIES,KY,40803,,,,,,,,,,,,,,,,,,,,,,,
LAFAYETTE,IN,47917,,,,,,,,,,,,,,,,,,,,,,,
BEND,OR,97701,,,,,,,,,,,,,,,,,,,,,,,
LAFAYETTE,LA,70516,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDRIA,LA,71320,,,,,,,,,,,,,,,,,,,,,,,
SPRINGFIELD,AR,72537,,,,,,,,,,,,,,,,,,,,,,,
PORTLAND,OR,97814,,,,,,,,,,,,,,,,,,,,,,,
ROCHESTER,NY,14414,,,,,,,,,,,,,,,,,,,,,,,
WASHINGTON,DC,20001,,,,,,,,,,,,,,,,,,,,,,,
COLUMBIA,SC,29030,,,,,,,,,,,,,,,,,,,,,,,
CHARLESTON,SC,29410,,,,,,,,,,,,,,,,,,,,,,,
ALBANY,GA,31624,,,,,,,,,,,,,,,,,,,,,,,
