Name,URL,ProgramsOffered,ProgramsOffered2
ARIZONA SOCCER ACADEMY,http://www.azsocceracademy.com/,Competitive,
ARIZONA STORM,https://www.azstormfc.com/,,
ARIZONA SURF,https://phoenixsurfsoccer.com/,PROGRAMSOFFERED:,
AYSO UNITED,https://aysounitedsoccer.com/,,
AZ ARSENAL,http://www.azarsenalsc.org/,,
AZ INFERNO ,https://www.azinfernosoccerclub.net/,Competitive,
BETIS ACADEMY ARIZONA,https://www.betisacademyaz.com/,PROGRAMSOFFERED:,
BRAZAS FUTEBOL CLUB,https://www.brazas.org/,Competitive,
CCV STARS,https://ccvstars.com/soccer,,
CLUB TIGRES,https://www.facebook.com/Tigressoccerclub/,Competitive,
EAST VALLEY NSFC,http://www.evnsfc.com/,Competitive,Recreation
EPIC SOCCER CLUB,https://www.epicazsoccer.org/,Competitive,
EXCEL SOCCER ACADEMY,https://www.excelsocceracademy.com/,Competitive,
FC ARIZONA,https://fcarizona.com/,Competitive,Recreation
FC BATAVIA,https://fcbatavia.com/,Competitive,
FIERCE FUTBOL LIONS,https://www.fiercefutbollions.net/,Competitive,
FUTBOLITO BIMBO SOCCER LEAGUE,http://www.futbolitobimbo.net/,Competitive,Recreation
GILBERT YOUTH SOCCER ASSOCIATION,https://www.azgysa.com/,Recreation,
GRANDE SPORTS ACADEMY/ BARCA RESIDENCY,https://barcaresidencyacademyusa.com/,,
JUVENTUS SOCCER CLUB,https://juventussoccerclub.org/,Competitive,
LA ACADEMIA FC,https://socceracademia.com/,Competitive,
LEGENDS FC ARIZONA,https://www.legendsfc.net/arizona,Competitive,
MADISON FC,https://www.madisonfutbol.com/,Competitive,Recreation
MESA FUTBOL CLUB,https://mesasoccerleague.com/mesa-f-c-program,Competitive,
NORTH SCOTTSDALE SOCCER CLUB,https://www.northscottsdalesoccerclub.com/,Competitive,Recreation
NOS SANTOS SC,https://santossc.com/,Competitive,
PARIS SAINT-GERMAIN ACADEMY PHOENIX,https://www.psgacademyphoenix.com/,Competitive,
PHOENIX UNITED FC,http://www.phoenixunitedfc.com/,Competitive,Recreation
PLAYMAKER FC,https://www.playmakerfutbolacademy.com/,Competitive,
REAL ARIZONA FC,https://www.facebook.com/Real-Arizona-FC-101310511524792/,Competitive,
ROADRUNNERS YOUTH SC,https://www.facebook.com/RYSCSOCCERAZ/,Competitive,Recreation
SC DEL SOL,https://www.scdelsol.com/,Competitive,
SCOTTSDALE CITY FC,http://scottsdalecityfc.com/,Competitive,
SCOTTSDALE PREMIER SC,http://scottsdalepremier.com/,Competitive,
STATE 48 FC,http://state48fc.com/,PROGRAMSOFFERED:,
SUN WARRIORS,https://sunwarriorsazfc.wixsite.com/website?fbclid=IwAR3Ze-CMA_DI3VZWJswpg68JjQ3HaHbsTiZ107EkCv1hG0qU3D7qm0UwMwU,,
SYNERGY FC,https://www.facebook.com/Synergyfc-AZ-102060694721230?fbclid=IwAR1dzUZF4NTsWln6FLf1TQgnQ_uLnKwcEpbsMYi1s9TnmG-5oCUkcbokBpA,,
THUNDERBIRD FC,https://thunderbirdfc.org/,,
UNITED LATINOS SC,http://latinossoccer.com/,Competitive,
USA UNITED SOCCER,https://www.usaunitedsoccer.com/,Competitive,Recreation
PIMA COUNTY SURF,http://pimacountysurf.com/,Competitive,Recreation
BVB INTERNATIONAL ACADEMY AZ,https://bvbinternationalacademy-az.sportsengine-prelive.com/,,
RENEGADES SOCCER CLUB,http://renegadessc.arizonasoccerlive.org/home.php,Competitive,
SONOITA-ELGIN SOCCER CLUB,https://www.facebook.com/SonoitaElginSoccerClub/,PROGRAMSOFFERED:,
SOUTHERN ARIZONA SOCCER CLUB,https://southernarizonasoccerclub.org/,Competitive,
SPARTANS FC,https://fcspartans.org/,Competitive,
TUCSON MOUNTAIN SFC,https://tucsonmountainsoccerclub.com/,Competitive,
VAIL SC,http://vailsoccerclub.com/,Recreation,
BISBEE YOUTH SOCCER,https://www.facebook.com/BisbeeYouthSoccerAssociation/?ref=page_internal,PROGRAMSOFFERED:,
CORONADO ATHLETIC CLUB,https://www.coronadoac.com/,Competitive,Recreation
SIERRA VISTA SC,http://svsoccer.net/clubsite/?p=8638,,
ARIZONA SURF-YUMA,http://www.facebook.com/YumaSurf,Competitive,
YUMA YOUTH SOCCER ASSOCIATION,http://yumayouthsoccer.com/,Recreation,
KINGMAN YOUTH SOCCER LEAGUE,http://kingmansoccer.arizonasoccerlive.org/home,,
HAVASU LIONS FC,http://www.lakehavasusoccerleague.com/home.php,PROGRAMSOFFERED:,
FLAGSTAFF REVOLUTION,https://www.flagstaffrevolution.org/,,
FLAGSTAFF SOCCER CLUB,https://www.flagstaffsoccerclub.com/,​PROGRAMSOFFERED:Competitive,Recreation
OJB FC,https://www.ojbfc.com/,​PROGRAMSOFFERED:Competitive,
YAVAPAI SOCCER CLUB,http://www.yavapaisoccer.com/,PROGRAMSOFFERED:Competitive,Recreation
