0,Desert Communities Soccer Club,District 5,,,http://www.dcsc.soccer/, Youth,,,5 ,[San Bernardino & Riverside Counties], Boys and Girls,, Club,,
0,Albion SC Central Cal (Bakersfield),District 6,,,https://www.albionsccentralcal.org/,Youth,,, 6, Kern County , Boys and Girls,, Club,,
0,Albion SC Central Cal (Santa Maria),District 7,,,https://www.albionsccentralcal.org/, Youth,,, 7, Santa Maria, Boys and Girls,, Club,,
0,Albion SC Central Cal (Antelope Valley),District 6,,,https://www.albionsccentralcal.org/, Youth,,, 6, Antelope Valley, Boys and Girls,, Club,,
0,Foothill Superliga,District 4,,,https://www.facebook.com/socalsuperliga/, Youth,,, 4, Los Angeles County, Boys and Girls,, Recreational League,,
1,Kickers FC,District 7,,,https://kickersfc.club/, Youth,,, 7, San Luis Obispo/Santa Barbara/Ventura County, Boys and Girls,, Youth Club,,
1,ZeroGravity Academy,District 7,,,https://zerogravityusa.org/, Youth,,, 7, San Luis Obispo/Santa Barbara/Ventura County, Boys and Girls,, Youth Club,,
1,Santa Barbara Revolution Academy,District 7,,,https://www.revolutionsbselect.org/, Youth,,, 7, San Luis Obispo/Santa Barbara/Ventura County, Boys and Girls,, Youth Club,,
1,Sporting F.C. Inc.,District 7,,,, Youth,,, 7, San Luis Obispo/Santa Barbara/Ventura County, Boys and Girls,, Youth Club,,
1,Oxnard FC,District 7,,,https://oxnard-fc.com/, Youth,,, 7, San Luis Obispo/Santa Barbara/Ventura County, Boys and Girls,, Youth Club,,
2,Kickers Soccer Club,District 7,,,https://www.kickerssc.com/, Youth,,, 7, San Luis Obispo/Santa Barbara/Ventura County, Boys and Girls,, Youth Club,,
2,Santa Ynez Valley Youth Soccer,District 7,,,https://www.sportsengine.com/org/santa-ynez-futbol-club, Youth,,, 7, San Luis Obispo/Santa Barbara/Ventura County, Boys and Girls,, Youth Club,,
2,Torino FC,District 7, District 7,,https://www.torinofcoxnard.com/,, Youth,, 7, San Luis Obispo/Santa Barbara/Ventura County, Boys and Girls,, Youth Club, Competitive League, Competitive League
2,Santa Paula Futbol Club Academy,District 7,,,https://www.santapaulafcx.org/, Youth,,, 7, San Luis Obispo/Santa Barbara/Ventura County, Boys and Girls,, Youth Club,,
2,California United Futbol Club,District 7,,,https://sites.google.com/view/californiaunitedfc/, Youth,,, 7, San Luis Obispo/Santa Barbara/Ventura County, Boys and Girls,, Youth Club,,
3,Crusaders Futbol Club,District 7,,,https://orcuttcrusadersfc.com/, Youth,,, 7, San Luis Obispo/Santa Barbara/Ventura County, Boys and Girls,, Youth Club,,
3,Futbol Legacy Development Program,District 7, District 7,,https://www.facebook.com/imperioFLOfficial,, Youth,, 7, San Luis Obispo/Santa Barbara/Ventura County, Boys and Girls,, Youth Club, Recreational League, Recreational League
3,CC Dynasty Futbol Club,District 7, District 7,,https://www.ccdynastyfc.com/,, Youth,, 7, San Luis Obispo/Santa Barbara/Ventura County, Boys and Girls,, Youth Club, Recreational League, Recreational League
3,VC Galaxy,District 7,,,https://www.sportingca.us/, Youth,,, 7, San Luis Obispo/Santa Barbara/Ventura County, Boys and Girls,, Youth Club,,
3,Presidio Soccer League,District 1,,,https://www.presidiosoccer.com/, Youth,,, 1, San Diego, Boys and Girls,, Competitive League,,
4,La Jolla Youth Soccer League,District 1, District 1,,https://www.lajollasoccer.org/,, Youth,, 1, San Diego, Boys and Girls,,  Club, Recreational League, Recreational League
4,Chula Vista Futbol Club,District 1, District 1,,https://www.chulavistafc.com/,, Youth,, 1, San Diego, Boys and Girls,,  Club, Recreational League, Recreational League
4,Ramona Soccer League,,,,http://www.ramonasoccer.com/, Youth,,, 1, San Diego, Boys and Girls,,  Club, Recreational League,
4,Rebels Soccer League,District 1, District 1,,http://rebelssc.com/,, Youth,, 1, San Diego, Boys and Girls,,  Club, Recreational League, Recreational League
4,Scripps Ranch Soccer Club,District 1, District 1,,http://www.scrippsranchsc.com/,, Youth,, 1, San Diego, Boys and Girls,,  Club, Recreational League, Recreational League
5,Crusaders Soccer Club,District 1, District 1,,https://crusaderssoccer.org/,, Youth,, 1, San Diego, Boys and Girls,,  Club, Recreational League, Recreational League
5,Atlante San Diego F.C.,District 1, District 1,,http://www.atlantesandiegofc.com/,, Youth,, 1, San Diego, Boys and Girls,,  Club, Recreational League, Recreational League
5,Nomads Soccer Club,District 1,,,http://www.nomadssoccer.org/, Youth,,, 1, San Diego, Boys and Girls,,  Club,,
5,Oxnard Athletic Club,District 7,,,http://www.oxnardac.org/, Youth,,, 7, San Luis Obispo & Santa Barbara & Ventura County, Boys and Girls,,  Club,,
5,MSA FC,District 7,,,https://www.monkasocceracademy.com/, Youth,,, 7, San Luis Obispo & Santa Barbara & Ventura County, Boys and Girls,,  Club,,
6,Club Santos Laguna Oxnard,District 7,,,https://upvsl.org/home, Youth,,, 7, San Luis Obispo & Santa Barbara & Ventura County, Boys and Girls,,  Club,,
6,FC United Academy,District 7,,,http://fcuacademy.com/, Youth,,, 7, San Luis Obispo & Santa Barbara & Ventura County, Boys and Girls,,  Club,,
6,Barcelona Santa Paula,District 7,,,https://www.sportsengine.com/org/barcelona-santa-paula, Youth,,, 7, San Luis Obispo & Santa Barbara & Ventura County, Boys and Girls,,  Club,,
6,Club Deportivo La Esperanza,District 7,,,http://cdlaesperanza.org/, Youth,,, 7, San Luis Obispo & Santa Barbara & Ventura County, Boys and Girls,,  Club,,
6,Oxnard United Soccer Club,District 7,,,https://www.oxnardunitedsc.org/, Youth,,, 7, San Luis Obispo & Santa Barbara & Ventura County, Boys and Girls,,  Club,,
7,DMS 11 Academy,District 7,,,https://dms11.com/index.html, Youth,,, 7, San Luis Obispo & Santa Barbara & Ventura County, Boys and Girls,,  Club,,
7,Legacy United Soccer Club,District 7,,,https://legacyunitedsc.com/, Youth,,, 7, San Luis Obispo & Santa Barbara & Ventura County, Boys and Girls,,  Club,,
7,Newbury Park Soccer Club,District 7,,,http://www.newburyparksoccerclub.com/, Youth,,, 7, San Luis Obispo & Santa Barbara & Ventura County, Boys and Girls,,  Club,,
7,Oxnard PAL Youth Soccer,District 7, District 7,,https://www.oxnardpal.org/soccer,, Youth,, 7, San Luis Obispo & Santa Barbara & Ventura County, Boys and Girls,,  Youth Club, Recreational League, Recreational League
7,Ventura County Fusion Youth Soccer Academy,District 7,,,https://www.vcfusion.com/, Youth,,, 7, San Luis Obispo & Santa Barbara & Ventura County, Boys and Girls,,  Youth Club,,
8,IV United Soccer Association,District 1, District 1,,https://www.facebook.com/profile.php?id=100057570785327,, Youth,, 1, San Diego, Boys and Girls,,  Youth Club, Recreational League, Recreational League
8,Xolos Academy FC,District 1,,,http://www.xolosacademy.com/, Youth,,, 1, San Diego & Chula Vista, Boys and Girls,,  Youth Club,,
8,San Diego Real Madrid Elite,District 1,,,https://camelitefc.com/, Youth,,, 1, San Diego & Chula Vista, Boys and Girls,,  Youth Club,,
8,San Diego ELI7E FC,District 1,,,https://www.sdelitefc.com/, Youth,,, 1, San Diego & Chula Vista, Boys and Girls,,  Youth Club,,
8,Fallbrook Youth Soccer League,District 2, District 2,,https://fallbrooksoccer.org/,, Youth,, 2, Temecula & Oceanside, Boys and Girls,,  Youth Club, Recreational League, Recreational League
9,Soccer Club of Oceanside,District 2, District 2,,http://oceansidebreakers.org/,, Youth,, 2, Oceanside & Temecula, Boys and Girls,,  Youth Club, Recreational League, Recreational League
9,Vista Soccer Club,District 2, District 2,,http://www.vistasoccerclub.org/,, Youth,, 2, Vista & Oceanside & Temecula, Boys and Girls,,  Youth Club, Recreational League, Recreational League
9,Tiffiny's International Soccer Organization,District 2, District 2,,https://www.facebook.com/Soccerinvista,, Youth,, 2, Vista & Oceanside & Temecula, Boys and Girls,,  Youth Club, Recreational League, Recreational League
9,ALBION SC North,District 2,,,http://www.albionscnorth.org/, Youth,,, 2, Vista & Escondido, Boys and Girls,,  Youth Club,,
9,Barcelona California,District 7,,,https://www.barcelonaca.com/page/show/942532-home, Youth,,, 7, San Luis Obispo & Santa Barbara & Ventura County, Boys and Girls,,  Youth Club,,
10,Moorpark Soccer Club,District 7,,,https://www.moorparksoccerclub.com/index.html, Youth,,, 7, San Luis Obispo & Santa Barbara & Ventura County, Boys and Girls,,  Youth Club,,
10,Estero Bay Youth Soccer,District 7,,,https://www.leaguelineup.com/welcome.asp?url=mbsports, Youth,,, 7, San Luis Obispo & Santa Barbara & Ventura County, Boys and Girls,,  Recreational League,,
10,Simi Valley Soccer Club - Eclipse,District 7,,,https://eclipsesoccer.com/, Youth,,, 7, San Luis Obispo & Santa Barbara & Ventura County, Boys and Girls,,  Youth Club,,
10,Eagles Soccer Club,District 7,,,https://eaglessc.com/, Youth,,, 7, San Luis Obispo & Santa Barbara & Ventura County, Boys and Girls,,  Youth Club,,
10,Templeton Youth Soccer League,District 7,,,https://www.leaguelineup.com/welcome.asp?url=tys, Youth,,, 7, San Luis Obispo & Santa Barbara & Ventura County, Boys and Girls,,  Recreational League,,
11,Legends Futbol Academy,District 7,,,https://legendsfutbol.org/, Youth,,, 7, San Luis Obispo & Santa Barbara & Ventura County, Boys and Girls,,  Youth Club,,
