District,Name,URL
district-i,Heartland Soccer Associations,https://www.heartlandsoccer.net/
district-i,JCPRD Youth Soccer League,https://www.jcprd.com/205/Youth-Sports
district-i,CLICK HERE,http://www.kpsl.org/
district-i,BK Academy Futbol Club,https://www.bkacademy.club/
district-i,BVB Great Plains,https://www.bvbinternationalacademy-greatplains.com/
district-i,Club Palmyra,https://www.clubpalmyra.com/
district-i,Exceed Futbol,https://www.exceedfutbol.com/
district-i,Fountain City FC,https://www.fountaincityfc.com/
district-i,Global FC,https://www.globalfutbol.org/
district-i,Johnson County SC,https://jocosoccerclub.com/
district-i,KC Athletics,https://www.athleticskc.com/
district-i,KC Atletico,https://www.kcatletico.com/
district-i,KC Blaze SC,https://www.kcblazesc.org/home
district-i,KC Legends,https://www.kclegends.com/
district-i,Kansas City Scott Gallagher,http://kcsgsoccer.org/
district-i,Union FC,https://www.playforunion.com/
district-i,Santa Fe Wanderers,https://msha.ke/sfwanderers/#about
district-i,Toca FC,https://www.tocafc.org/
district-i,CLICK HERE,http://www.neusoccer.org/
district-i,Puma FC,https://pumafc.org/
district-i,KC Fire FC​,https://firefc.net/?fbclid=IwAR1xpnZhw3Jl8Oko7WbCxObjfjmeFmWnk6EQYI14rUybRsdsIIUA1BSuROQ
district-i,Piper Soccer Club,https://clubs.bluesombrero.com/default.aspx?portalid=3165
district-i,Kansas Rush Soccer Club,https://www.kansasrush.com/
district-i,Leavenworth Soccer Association,https://www.leavenworthsoccer.org/
district-i,KC Fusion,https://kcfusion.com/
district-i,OP Soccer Club,https://opsoccerclub.org/
district-i,Sporting Blue Valley,https://www.sportingbvsoccer.org/
district-ii,CLICK HERE,https://strykersportscomplex.com/
district-ii,Athletics GSC,https://www.goldensoccerclub2011.com/
district-ii,AYSO United Wichita,https://www.aysounitedwichita.org/Default.aspx?tabid=837844
district-ii,Club Azzuri SC - Hutchinson,https://www.hutchazzurri.com/
district-ii,FC Atlas,https://www.facebook.com/WichitaFCAtlas/about
district-ii,FC Kansas Crusade,https://www.facebook.com/fccrusade
district-ii,FC Premiera,http://www.wichitafcpremiera.com/home.html
district-ii,Kansas Rush Wichita,https://www.kansasrushwichita.com/kansasrushwichita
district-ii,Newton Railers,https://www.newtonunitedsoccer.com/page/show/3376426-home
district-ii,Raptors SC,https://www.raptorssoccerclub.org/
district-ii,Santos SC,https://www.santossoccerclub.net/
district-ii,Wichita Eagles,http://www.wkseagles2013.org/
district-ii,Wichita Legends,https://www.youthsoccerwichita.com/
district-ii,Wichita Pride,https://tshq.bluesombrero.com/wichitapridefc
district-ii,Wichita United FC,https://www.wichitaunitedfc.com/
district-ii,Wichita Warriors,https://www.wichitawarriors.com/
district-ii,Wichita Wave,https://www.wichitawave.com/
district-ii,FC Wichita,https://www.wichitasocceracademy.com/
district-ii,McPherson City FC,https://mcphersoncityfc.com/
district-ii,Sporting Wichita,https://www.sportingwichita.net/
district-iii,CLICK HERE,https://sunflowersoccer.org/
district-iii,Topeka Soccer Club,https://www.topekasoccerclub.com/
district-iii,CLICK HERE,http://www.kpsl.org/
district-iii,Club Palmyra,https://www.clubpalmyra.com/
district-iii,Topeka Independent Soccer Club,https://www.tiscofks.com/home
district-iii,Crossroads Soccer Association,https://wamegosoccer.wordpress.com/
district-iii,Puma FC Manhattan,https://www.pumafcmanhattan.org/
district-iii,Sporting Kaw Valley,https://www.sportingkawvalley.org/
district-iv,Southeast Kansas Soccer Academy,https://www.seksocceracademy.com/
district-v,Dodge City Toros FC,https://dodgecitysoccer.com/
district-v,Click Here,https://atleticoliberalfc.com/
district-v,Hays Soccer Club,https://www.hayssoccerclub.com/
