Name,Address,Phone,Email,URL
402 DEVELOPMENT ACADEMY,"Lincoln, NE",,info@402da.org,https://www.402da.org/
ARCHBISHOP BERGAN,"Fremont, NE 68025",,bsullivan@cariant.com,https://www.nebraskastatesoccer.org/Default.aspx?tabid=2679160
AZZURRI SOCCER CLUB,"P.O. Box 45210, Omaha, NE 68145",4025939919,antoniosoto5@icloud.com,http://www.azzurriyouthsoccer.com/
BEATRICE NIGHTHAWKS SOCCER CLUB,"1919 Country Meadows Pl, Beatrice, NE 68310",4028062111,jsware1996@gmail.com,https://www.nebraskastatesoccer.org/Default.aspx?tabid=2679160
BELLEVUE SOCCER CLUB,"P.O. Box 692, Bellevue, NE 68005",4022910886,registrar@bscneb.org,http://www.bscneb.org/
BENNINGTON SOCCER CLUB,"P.O. Box 311, Bennington, NE 68007",,registrar@benningtonsoccer.org,http://www.benningtonsoccer.org/
BLAIR FC,"P.O. Box 95, Blair, NE 68008",4025338925,registrar@blairfc.com,http://www.blairfc.com/
BROWNWELL TALBOT,"Omaha, NE 68132",,,https://www.nebraskastatesoccer.org/Default.aspx?tabid=2679160
CHRIST THE KING SOCCER CLUB,"831 S 88th St, Omaha, NE 68114",4029605048,espejot@ctkomaha.org,http://www.ctksports.org/
COLUMBUS SOCCER CLUB,"29764 1st Ave, Columbus, NE 68601",4029102013,llstaroscik@gmail.com,http://www.columbussoccerclub.com/
DIABLOS FOOTBALL CLUB,"South Sioux City, NE",,admin@diablosfootballclub.com,https://www.diablosfootballclub.com/
DREAMER'S FC,"4320 37th St, Lincoln, NE 68516",,dreamersfc2015@gmail.com,https://www.dreamersfc.com/
EAGLES FOOTBALL CLUB,68803,,otoniel@eaglesfcgi.org,http://eaglesfcgi.org/
ELKHORN ATHLETIC ASSOCIATION,"1402 N 203rd St, Elkhorn, NE 68022",4022898358,clubadmin@elkhornathletics.org,http://www.elkhornathletics.org/
EVOLUTION SOCCER CLUB,"10221 Monroe St, Omaha, NE 68127",4028716819,amyrobbins@cox.net,http://www.evolutionsoccerclub.com/
FREMONT SOCCER CLUB,"P.O. Box 536, Fremont, NE 68025",4029685002,babellbrown@yahoo.com,http://www.fremontsoccer.org/
GRETNA ELITE ACADEMY,"10550 S. 222nd St, Gretna, NE 68028",4022159525,clubadmin@gretnaeliteacademy.com,http://www.gretnaeliteacademy.com/
HASTINGS SOCCER CLUB,"1721 Apache Ave, Hastings, NE 68901",4024628458,consbruck843@hotmail.com,http://www.hastingssoccerclub.org/
HAWKS FC,"801 Dale Dr., Lincoln, NE 68510",4024136358,hawksfcne@gmail.com,https://clubs.bluesombrero.com/Default.aspx?tabid=509383
