,Broome County Soccer Assoc.,,,http://www.broomesoccer.org/,
,Buffalo & Western NY Junior Soccer League,,,http://www.bwnyjsl.org/,
,Champions Conference,,,https://nyswchampionsconference.demosphere-secure.com/,
,Early Development League,,,http://www.gps-newyork.com/edl,
,Genesee Youth Soccer League,,,http://www.eteams.com/gyslsoccer/,
,Livingston Fall Soccer League,,,http://specialteesbanners.com/gvbbsc/summer-soccer-2/,
,Monroe United Recreational Soccer League,,,http://www.mursl.org/,
,Northern NY Soccer League,,,http://www.nnyysl.com/,
,Rochester District Youth Soccer League,,,http://www.rdysl.com/,
,Southern Tier Travel Soccer League,,,http://www.sttsl.org/,
,Thruway Soccer League,,,https://thruway.demosphere-secure.com/,
,Upstate Developmental Soccer League,,,,
,Wayne/Finger Lakes Soccer League,,,http://www.wflysl.com/,
,Addison Girls Soccer,,,,
,Addison Travel Soccer,,,,
,Addison Youth Soccer Club,,,,
,AFC Buffalo,,,https://www.afcbuffalo.org/Default.aspx?tabid=2251433,
,AFC Fury,,,,
,Akron Soccer League,,,http://www.akronsoccerleague.com/,
,Albion Soccer Club,,,http://eteamz.active.com/gyslsoccer/index.cfm?league=1789091&subsite=4220927,
,Alden Soccer Club,,,https://aldensoccer.sportngin.com/,
,Alfred-Almond Youth Soccer,,,,
,Allegany Soccer Club,,,http://www.alleganysoccer.org/,
,Alliance Football Club (Victor NY),,,http://alliancefootballclub.org/,
,ALS Premier,,,,
,Amherst Soccer Assoc,,,http://www.amherstsoccer.com/,
,Amherst Williamsville United SC,,,http://www.awunitedsoccer.com/home.html,
,Arcade Area Youth Soccer Club,,,http://aaysoccer.com/,
,Arcade Storm Soccer,,,http://www.arcadeexpresssoccer.com%20/,
,Arkport Soccer Club,,,,
,Attica Soccer Club,,,http://eteamz.active.com/gyslsoccer/index.cfm?league=1789091&subsite=4220929,
,Auburn Arsenal Soccer Club,,,,
,Aurora Arsenal Soccer Club,,,http://www.auroraarsenal.org/,
,Avoca United Soccer Club,,,,
,Baldwinsville Youth Soccer,,,http://bvillesoccer.com/,
,Batavia Soccer Club,,,http://bataviasoccerclub.com/,
,Bath Blast Soccer Club,,,,
,BAYSO - Bemus Area Youth Soccer ,,,,
,BC United Soccer Association,,,http://bcunitedsoccer.com/,
,Belmont Soccer Club,,,,
,Black Watch Premier NY West,,,,
,Bloomfield Soccer Club,,,http://www.bloomfieldsoccerclub.com/,
,Boston Youth Soccer League,,,,
,Bradford Braves Football Club,,,,
,Brighton Soccer Club,,,http://eteamz.active.com/brightonsoccer/index.cfm?,
,Brockport Soccer Club,,,http://www.brockportsoccer.org/,
,Buffalo Soccer Academy,,,http://www.buffalosocceracademy.com/,
,Buffalo Soccer Club,,,,
,Byron-Bergan Youth Soccer,,,http://bbstingsoccer.com/,
,Caledonia Soccer Club,,,http://www.eteamz.active.com/caledoniasoccerclub,
,Camillus Soccer Club,,,,
,Campbell-Savona SC,,,,
,Canandaigua Area Soccer League (CASL),,,http://www.canandaiguasoccer.com/,
,Candor Community Soccer Club,,,,
,Canisteo-Greenwood Soccer Club,,,,
,Carthage FC,,,,
,Carthage United SC,,,,
,Carthage Youth Soccer,,,,
,Cassadaga Valley Youth Soccer Assoc.,,,,
,Cato Youth Soccer Club,,,http://catosoccer.com/,
,Cattaragus-Little Valley Soccer Club,,,,
,Cavaliers Soccer Club,,,,
,Central Western United SC,,,,
,Chautauqua Lake SC ,,,,
,Cheektowaga Soccer Club,,,http://www.cheektowagasoccer.com/,
,Chili Soccer Association,,,http://www.chilisoccer.org/,
,Churchville Soccer Club,,,http://cyasoccer.net/,
,Cicero United Soccer Academy,,,http://www.hometeamsonline.com/teams/default.asp?u=CUSA&sport=soccer&t=c&p=home&s=soccer,
,Clarence Soccer Club,,,http://www.clarencesoccer.org/,
,Cobras FC,,,http://www.greececobras.org/,
,Corning United Soccer Club,,,http://www.corningunitedsoccer.com/,
,Cortland County Youth Soccer Assoc.,,,http://ccysasoccer.org/,
,Dansville Girls Travel Soccer Club,,,http://www.dansvilletravelsoccerclub.com/,
,Delaware Soccer Club,,,http://www.delawaresoccerclub.com/,
,Dryden Soccer Club,,,https://drydensoccer.wordpress.com/,
,East Irondequoit Athletic Assoc. (EIAA),,,https://www.leaguelineup.com/welcome.asp?url=eastirondequoitsoccer,
,East Rochester Youth Soccer Club,,,,
,East Side Soccer Inc.,,,http://www.eastsidesoccer.org/,
,Eastern Shore Youth Soccer,,,,
,Ellicotville Soccer Club,,,,
,Elma Marilla Wales (EMW) Soccer,,,http://www.emwsoccer.org/,
,Empire United Soccer Academy (Rochester + Buffalo),,,http://www.empireunitedsa.org/,
,Empire United Soccer Club,,,http://www.empireunitedsoccerclub.org/,
,Enchanted Mountain Soccer Club,,,https://www.facebook.com/pages/category/Amateur-Sports-Team/Enchanted-Mountain-Soccer-Club-286378791514441/,
,Fairport Soccer Club,,,http://fairportsoccer.org%20/,
,Falconer Area Soccer Teams,,,,
,Fayetteville-Manlius Soccer,,,http://www.fmsc-soccer.org/,
,FC Dansville Mustangs & Lady Mustangs,,,http://www.fcdansvillemustangs.com/,
,FC Dynamo - ROC,,,http://www.fcdynamoroc.com/,
,FC Red & Blacks,,,http://www.fcr-b.com/,
,Finger Lakes International Sporting Club,,,http://www.fingerlakesinternationalsc.com/,
,Finger Lakes Minor Soccer,,,http://www.fingerlakessoccer.com/,
,Flash Soccer Club,,,,
,Flower City Soccer,,,http://flowercitysoccerleague.googlepages.com/,
,Forza Soccer Club of NY,,,http://jwlsn631.wix.com/forza-sc-of-ny,
,Frewsburg Area Youth Soccer Club,,,,
,Frewsburg Soccer Club,,,https://www.frewsburgsoccerclub.net/,
,Full Circle Sports Clubs,,,http://fullcirclesportsclubs.com/,
,Fulton Youth Soccer,,,http://www.eteamz.com/fultonyouthsoccer/,
,Gananda Bandits Soccer Club,,,http://www.ganandabandits.com/,
,Gates Soccer Club,,,http://www.gatessoccer.com/,
,Genesee Lancers Soccer Club,,,http://www.geneseelancers.com/,
,Genesee Valley Bronze Bears Soccer,,,http://leaguelineup.com/gvbbsc,
,Geneva Soccer Club,,,,
,Grand Island Soccer Club,,,http://www.gisoccerclub.org/,
,Greater Binghamton FC,,,http://binghamtonfc.com/,
,Greece Girls Soccer,,,http://www.ggsl.org/,
,Greece United Futbol Club,,,http://www.greeceunitedfc.com/,
,Griffins McGraw Soccer Club,,,,
,Groton Soccer Club,,,,
