Zip,Name,Location,State + Zip,Map Url,Url,Email
17101,Penns Valley Youth Soccer,190 Blarney Lane Centre Hall, PA 16828,https://www.pawest-soccer.org/clubs/penns-valley-youth-soccer/?Near=17101&Radius=250,https://www.pennsvalleyyouthsoccer.org/,pennsvalleyyouthsoccer@gmail.com
17101,Huntingdon Hawks Soccer Club,9014 Covered Bridge Lane Huntingdon, PA 16652,https://www.pawest-soccer.org/clubs/huntingdon-hawks-soccer-club/?Near=17101&Radius=250,http://www.huntingdonsoccer.net/index.php/,cjd29@psu.edu
17101,McConnellsburg Youth Soccer League (MYSL),212 South 7th St. McConnellsburg, PA 17233,https://www.pawest-soccer.org/clubs/mcconnellsburg-youth-soccer-league-mysl/?Near=17101&Radius=250,https://www.pawest-soccer.org/clubs/mcconnellsburg-youth-soccer-league-mysl/?Near=17101&Radius=250,mccubbage@yahoo.com
17101,Centre Soccer Association,PO Box 32 State College, PA 16804,https://www.pawest-soccer.org/clubs/centre-soccer-association/?Near=17101&Radius=250,https://www.centresoccer.com/,programs@centresoccer.com
17101,Bellefonte Soccer Association,PO Box 414 Bellefonte, PA 16823,https://www.pawest-soccer.org/clubs/bellefonte-soccer-association/?Near=17101&Radius=250,https://www.bellefontesoccer.com/,justin.p.price@gmail.com
17101,McConnellsburg Youth Soccer,16264 Great Cove Rd. McConnellsburg, PA 17233,https://www.pawest-soccer.org/clubs/mcconnellsburg-youth-soccer/?Near=17101&Radius=250,https://ayso.bluesombrero.com/Default.aspx?tabid=738270,cglenn@tschc.com
17101,Bald Eagle Youth Soccer,PO Box 704 Milesburg, PA 16853,https://www.pawest-soccer.org/clubs/bald-eagle-youth-soccer/?Near=17101&Radius=250,https://www.baldeaglesoccer.org/,baldeagleyouthsoccer@gmail.com
17101,West Branch,317 W. Main St. Lock Haven, PA 17745,https://www.pawest-soccer.org/clubs/west-branch/?Near=17101&Radius=250,https://sites.google.com/site/westbranchsoccer/home,brinkers8@yahoo.com
17101,Hollidaysburg Hurricanes Soccer Club,PO Box 76 Hollidaysburg, PA 16648,https://www.pawest-soccer.org/clubs/hollidaysburg-hurricanes-soccer-club/?Near=17101&Radius=250,https://www.hsasoccer.org/,hollidaysburgsoccer@gmail.com
17101,Altoona Soccer Club,416 Parrish St. Altoona, PA 16602,https://www.pawest-soccer.org/clubs/altoona-soccer-club/?Near=17101&Radius=250,https://www.altoonasoccerclub.org/,altoonasoccerclub@gmail.com
17101,United FC,703 E. Presqueisle St. Philipsburg, PA 16866,https://www.pawest-soccer.org/clubs/united-fc/?Near=17101&Radius=250,https://www.unitedfcsoccer.com/,chaoticsilence13@gmail.com
17101,WB United,PO Box 222 Morrisdale, PA 16858,https://www.pawest-soccer.org/clubs/wb-united/?Near=17101&Radius=250,https://tshq.bluesombrero.com/westbranchyouthsoccer,a_fenush@yahoo.com
17101,Moshannon Valley Youth Soccer,127 Dorthea St. Houtzdale, PA 16651,https://www.pawest-soccer.org/clubs/moshannon-valley-youth-soccer/?Near=17101&Radius=250,https://www.pawest-soccer.org/clubs/moshannon-valley-youth-soccer/?Near=17101&Radius=250,ajadams127@gmail.com
17101,Bedford County Futbol CLub,181 Markwood Dr. Bedford, PA 15522,https://www.pawest-soccer.org/clubs/bedford-county-futbol-club/?Near=17101&Radius=250,http://bedfordcountyfutbolclub.blogspot.com/p/home.html,barrettleeschrock@gmail.com
17101,Clearfield Soccer Association,PO Box 886 Clearfield, PA 16830,https://www.pawest-soccer.org/clubs/clearfield-soccer-association/?Near=17101&Radius=250,https://www.clearfieldsoccer.com/,ronh@clearfieldsoccer.com
17101,Montour Youth Soccer Association,PO Box 15721 Pittsburgh, PA 15244,https://www.pawest-soccer.org/clubs/montour-youth-soccer-association/?Near=17101&Radius=250,https://www.montoursoccer.com/aboutus-2/,chuck@montoursoccer.com
17101,Laurel Highland Fütbol Club,130 Rolling Hills Rd Johnstown, PA 15905,https://www.pawest-soccer.org/clubs/laurel-highland-futbol-club/?Near=17101&Radius=250,https://lhfc2014.wixsite.com/lhfc,emarze@hotmail.com
17101,Highlander Soccer Academy,730 Coon Ridge Rd. Johnstown, PA 15905,https://www.pawest-soccer.org/clubs/highlander-soccer-academy/?Near=17101&Radius=250,https://www.thehighlandsatnorthfork.com/soccer/highlander-soccer-academy/,bdurham3234@gmail.com
17101,DuBois Soccer Association,PO Box 43 DuBois, PA 15801,https://www.pawest-soccer.org/clubs/dubois-soccer-association/?Near=17101&Radius=250,https://www.duboissoccer.com/,info@duboissoccer.com
17101,Somerset Area Soccer,172 Bethany Rd. Somerset, PA 15501,https://www.pawest-soccer.org/clubs/somerset-area-soccer/?Near=17101&Radius=250,https://www.pawest-soccer.org/clubs/somerset-area-soccer/?Near=17101&Radius=250,sasoccerclub@gmail.com
17101,Derry Soccer,576 Tannery Hollow Rd. Blairsville, PA 15717,https://www.pawest-soccer.org/clubs/derry-soccer/?Near=17101&Radius=250,http://www.dayaa.np.sportspilot.com/Home.aspx,derrysoccer@hotmail.com
17101,Indiana Area Soccer Boosters,53 Byrons Place Indiana, PA 15701,https://www.pawest-soccer.org/clubs/indiana-area-soccer-boosters/?Near=17101&Radius=250,https://www.indianasoccer.org/,danlee@iup.edu
17101,Brookville Area Soccer Association,PO Box 233 Brookville, PA 15825,https://www.pawest-soccer.org/clubs/brookville-area-soccer-association/?Near=17101&Radius=250,https://clubs.bluesombrero.com/brookvilleasa,shawnwil01@yahoo.com
