,Aurora Football Club,Aurora, CO,Premier,https://premier.upsl.com/teams/aurora-football-club-490402,
,PSC FC AZ,Surprise, AZ,Premier,https://premier.upsl.com/teams/psc-fc-az-61086,
,3rd Eye FC,Bloomfield , CT,Division 1,http://division1.upsl.com/teams/3rd-eye-fc-854344,
,88Thirty,Orange County, CA,Division 1,http://division1.upsl.com/teams/88thirty-932753,
,A.S. Los Angeles II,Tuiunga, CA,Division 1,http://division1.upsl.com/teams/a-s-los-angeles-ii-370674,
,A.S. Los Angeles,Tuiunga, CA,Premier,https://premier.upsl.com/teams/a-s-los-angeles-48195,
,AC Raleigh,Raleigh, NC,Premier,https://premier.upsl.com/teams/ac-raleigh-7455,
,Academias Barcelona SC,Queens, NY,Division 1,http://division1.upsl.com/teams/academias-barcelona-sc-200732,
,Acoreano Sport,Hilmar, CA,Premier,https://premier.upsl.com/teams/acoreano-sport-52997,
,AFC Solano,Fairfield, CA,Division 1,http://division1.upsl.com/teams/afc-solano-887670,
,AFG FC,Alameda, CA,Division 1,http://division1.upsl.com/teams/afg-fc-818509,
,Alamo City SC,San Antonio, TX,Premier,https://premier.upsl.com/teams/alamo-city-sc-97466,
,Alaska Thorns FC,Anchorage, AK,Premier,https://premier.upsl.com/teams/alaska-thorns-fc-648844,
,Alaska Timbers Women,Anchorage, AK,Women,http://women.upsl.com/teams/alaska-timbers-women-339009,
,Albion SC,San Diego, CA,Premier,https://premier.upsl.com/teams/albion-sc-794431,
,Alexandria Reds,Alexandria, VA,Premier,https://premier.upsl.com/teams/alexandria-reds-58717,
,Alexandria United FC,Alexandria/Arlington, VA,Premier,https://premier.upsl.com/teams/alexandria-united-fc-170010,
,Alianza FC,Detroit, MI,Premier,https://premier.upsl.com/teams/alianza-fc-282638,
,Amigos FC New York,Long Island, NY,Division 1,http://division1.upsl.com/teams/amigos-fc-new-york-11187,
,AMSG FC,Costa Mesa, CA,Division 1,http://division1.upsl.com/teams/amsg-fc-388367,
,Anaheim Premier FC U15,Anaheim, CA,Academy Boys,http://academyboys.upsl.com/teams/anaheim-premier-fc-u15-816641,
,Anaheim Premier FC U17,Anaheim, CA,Academy Boys,http://academyboys.upsl.com/teams/anaheim-premier-fc-u17-454968,
,Arkansas Legacy FC,Rogers, AR,Premier,https://premier.upsl.com/teams/arkansas-legacy-fc-659445,
,Arkansas Wolves FC,Little Rock, AR,Premier,https://premier.upsl.com/teams/arkansas-wolves-fc-267000,
,Arlington SA,Annandale, VA,Premier,https://premier.upsl.com/teams/arlington-sa-285579,
,Arlington Soccer,Arlington, VA,Premier,https://premier.upsl.com/teams/arlington-soccer-143746,
,AS Frenzi,Lake Mary, FL,Premier,https://premier.upsl.com/teams/as-frenzi-636764,
,ASC Central Cal,Palmdale, CA,Premier,https://premier.upsl.com/teams/asc-central-cal-434959,
,Asheville F.C,Asheville, NC,Premier,https://premier.upsl.com/teams/asheville-f-c-659574,
,Astoria Knights FC,Queens, NY,Division 1,http://division1.upsl.com/teams/astoria-knights-fc-48802,
,Athletic United,Silver Spring, MD,Premier,https://premier.upsl.com/teams/athletic-united-93550,
,Athletum FC U19 Elite,Miami, FL,Division 1,http://division1.upsl.com/teams/athletum-fc-u19-elite-50924,
,Athletum Miami FC U17,Miami, FL,Division 1,http://division1.upsl.com/teams/athletum-miami-fc-u17-87464,
,Athletum Miami FC U19,Miami, FL,Premier,https://premier.upsl.com/teams/athletum-miami-fc-u19-46071,
,Atlanta Athletic FC,Atlanta, GA,Division 1,http://division1.upsl.com/teams/atlanta-athletic-fc-751679,
,Atlanta City FC,Atlanta, GA,Premier,https://premier.upsl.com/teams/atlanta-city-fc-651906,
,Atlanta City FC Reserves,Atlanta, GA,Division 1,http://division1.upsl.com/teams/atlanta-city-fc-reserves-264688,
,Atlanta City FC U17,Atlanta, GA,Division 1,http://division1.upsl.com/teams/atlanta-city-fc-u17-884612,
,Atlanta City FC U23,Lawrenceville, GA,Division 1,http://division1.upsl.com/teams/atlanta-city-fc-u23-622376,
,Atlanta City U17,Atlanta, GA,Academy Boys,http://academyboys.upsl.com/teams/atlanta-city-u17-570606,
,Atlanta Fire United - UPSL,Duluth, GA,Division 1,http://division1.upsl.com/teams/atlanta-fire-united-upsl-603974,
,Atlanta Rovers FC,Marietta, GA,Premier,https://premier.upsl.com/teams/atlanta-rovers-fc-34490,
,Atlanta United Academy,Marietta, GA,Premier,https://premier.upsl.com/teams/atlanta-united-academy-36920,
,Atlas FC NYC,Long Island, NY,Division 1,http://division1.upsl.com/teams/atlas-fc-nyc-249196,
,Atletico Cuscatlan,Las Vegas, NV,Tournament,http://tournament.upsl.com/teams/atletico-cuscatlan-718056,
,Atletico de Madrid Academia Miami,Miami, FL,Division 1,http://division1.upsl.com/teams/atletico-de-madrid-academia-miami-28612,
,Atletico de Madrid Academia Miami,Doral, FL,Division 1,http://division1.upsl.com/teams/atletico-de-madrid-academia-miami-662839,
,Atletico Elite FC,San Diego, CA,Premier,https://premier.upsl.com/teams/atletico-elite-fc-57595,
,Atletico Orlando Academy,Orlando, FL,Division 1,http://division1.upsl.com/teams/atletico-orlando-academy-981236,
