,Elite 64 Northwest,Idaho Rush,
,Elite 64 Northwest,Northwest United,
,Elite 64 Northwest,Oregon Premier FC,
,Elite 64 Northwest,Utah Celtic Storm,
,Elite 64 Northwest,Utah Soccer Alliance,
,Elite 64 Northwest,Valor Soccer,
,Elite 64 Midwest,Elmbrook United,
,Elite 64 Midwest,FC 1974 Libertyville,
,Elite 64 Midwest,Legends FC&nbsp;(MI),
,Elite 64 Midwest,Madison 56ers SC,
,Elite 64 Midwest,Michigan Rangers,
,Elite 64 Midwest,Michigan Tigers,
,Elite 64 Midwest,North Shore United,
,Elite 64 Great Lakes,Club Ohio,
,Elite 64 Great Lakes,Fort Wayne United FC,
,Elite 64 Great Lakes,Indiana Fire Academy​,
,Elite 64 Great Lakes,NWI Lions,
,Elite 64 Great Lakes,Ohio Galaxies FC,
,Elite 64 Great Lakes,Pittsburgh Hotspurs SC,
,Elite 64 Great Lakes,WNY Flash Academy,
,Elite 64 Northeast,Coppermine SC,
,Elite 64 Northeast,Morris Elite SC*,
,Elite 64 Northeast,Princeton Soccer Academy,
,Elite 64 Northeast,PSA North,
,Elite 64 Northeast,Union County FC*,
,Elite 64 Northeast,West-Mont United,
,Elite 64 Pacific,AYSO United,
,Elite 64 Pacific,CCV Stars,
,Elite 64 Pacific,East County Surf SC,
,Elite 64 Pacific,Empire Surf,
,Elite 64 Pacific,FC Premier,
,Elite 64 Pacific,Las Vegas Surf SC,
,Elite 64 Pacific,Legends FC (CA),
,Elite 64 Pacific,Los Angeles SC,
,Elite 64 Pacific,Slammers FC,
,Elite 64 Pacific,South Valley Surf,
,Elite 64 Pacific,Strikers FC North,
,Elite 64 South,Alliance FC,
,Elite 64 South,J.B. Marine SC,
,Elite 64 South,KC Legends,
,Elite 64 South,Lobos Rush,
,Elite 64 South,Sporting Oklahoma,
,Elite 64 Southeast,Atlanta Fire United,
,Elite 64 Southeast,Azzurri Storm,
,Elite 64 Southeast,Charlotte Soccer Academy&nbsp;,
,Elite 64 Southeast,East Atlanta Dutch Lions,
,Elite 64 Southeast,Team Boca&nbsp;,
,Elite 64 Southeast,United Soccer Alliance,
