ClubName,URL,City,StateandZip,Tags1,Tags2,Tags3
1. Anacortes Youth Soccer,http://www.skvysa.org/,Anacortes, WA 98221,recreational,,
2. Bainbridge Island FC,http://www.bifc.net/,Bainbridge Island, WA 98110,Select,Recreational,
3. Ballard Youth Soccer Club,http://www.ballardsoccer.org/frameset.php,Seattle, WA 98107,recreational,,
4. Beacon Hill Youth Soccer Club,http://bhys.org/,Seattle, WA 98144,recreational,,
5. Bellevue United FC,http://bellevueunitedfc.org/,Bellevue, WA 98009,Select,Recreational,
6. Benton City,https://washingtonyouthsoccer.org/find-a-club/,Benton City, WA 99320,recreational,premier,
7. Blackhills Football Club,http://www.blackhillsfc.org/,Olympia, WA 98507,Premier,,
8. Blaine Soccer Club,http://whatcomsoccer.com/youth-soccer/wcysa-soccer-clubs/,Blaine, WA 98231,Recreational,,
9. Bremerton Soccer Club,http://www.bremertonsc.org/,Bremerton, WA 98337,Select,Recreational,
10. Burlington Edison Youth Soccer,https://clubs.bluesombrero.com/burlingtonpr,Burlington, WA 98233,recreational,,
11. Capitol Hill Youth Soccer Club,http://www.capitolhillsoccer.org/frameset.php,Capitol Hill, WA 98102,Recreational,,
12. Carnation Soccer Club,http://www.snvysa.org/,Carnation, WA 98014,Recreational,,
13. Cascade FC,http://www.cascadefc.org/,Snoqualmie, WA 98065,Select,,
14. Cascade Foothills Soccer Club,http://www.cascadefoothillssoccer.org/home,Enumclaw, WA 98022,recreational,,
15. Castle Rock/Toutle Lake Soccer Club,http://www.castlerocksoccer.org/,Castle Rock, WA 98611,Recreational,,
16. CDA Timbers-Thorns North FC,http://timbersthornsnorthfc.com/clubsite/?p=12893,Coeur d, ID 83815,Premier,,
17. Central Kitsap Soccer Club,http://www.cksoccer.org/,Silverdale, WA 98383,Select,Recreational,
18. Central Whidbey Soccer Club,https://www.centralwhidbeysoccer.com/,Coupeville, WA 98239,Select,Recreational,
19. Centralia Youth Soccer Club,http://www.centraliayouthsoccer.com/,Centralia, WA 98531,Recreational,,
20. Chehalis Youth Soccer Club,http://www.chehalissoccer.org/,Chehalis, WA 98532,Recreational,,
21. Chinqually Booters Soccer Club,https://www.chinqually.org/home,,WA 98509,recreational,,
22. Columbia Basin YSA (Ephrata),http://www.cbsoccer.com/home.php,Ephrata, WA 98823,Recreational,,
23. Columbia Basin YSA (Moses Lake),http://www.cbsoccer.com/home.php,Moses Lake, WA 98837,Recreational,,
24. Columbia Basin YSA (Othello),http://www.cbsoccer.com/home.php,Othello, WA 99344,Recreational,,
25. Columbia Basin YSA (Quincy),http://www.cbsoccer.com/home.php,Quincy, WA 98848,Recreational,,
26. Columbia Basin YSA (Warden),http://www.cbsoccer.com/home.php,Warden, WA 98857,Recreational,,
27. Conway Youth Soccer,http://www.conwaysoccer.org/home.php,Conway, WA 98238,Recreational,,
28. Crossfire Premier Soccer Club,http://www.crossfiresoccer.org/,Kirkland, WA 98034,Premier,,
29. Crossfire Select Soccer Club,http://www.crossfireselect.org/,Kirkland, WA 98034,Select,,
30. CYSA Timber Barons,http://www.cowlitzyouthsoccer.com/home.php?layout=33237,,,Select,,
31. Duvall Soccer Club,http://www.snvysa.org/,Duvall, WA 98019,Recreational,,
32. Eastside Football Club,http://www.eastsidefc.org/,Preston, WA 98006,Premier,,
33. Eastside Soccer Club,http://whatcomsoccer.com/youth-soccer/wcysa-soccer-clubs/,Bellingham, WA 98228,Recreational,,
34. Elma McCleary Youth Soccer Club,http://www.emysc.org/sites/emysc/home,Elma, WA 98541,Recreational,,
35. Everett Youth Soccer Club,http://www.everettyouthsoccerclub.org/,Everett, WA 98213,Select,Recreational,
36. Fall City Soccer Club,http://www.snvysa.org/,Fall City, WA 98024,Recreational,,
37. Federal Way Football Club,http://www.federalwayfc.com/,Federal Way, WA 98093,Premier,Select,Recreational
38. Federal Way Mod Soccer Club,http://www.federalwaysoccer.com/fwmsc,Federal Way, WA 98093,recreational,,
39. Ferndale Soccer Club,http://whatcomsoccer.com/youth-soccer/wcysa-soccer-clubs/,Ferndale, WA 98248,Recreational,,
40. Fife Milton Edgewood Junior Soccer Club,http://www.fmesoccer.org/,Milton, WA 98354,Select,Recreational,
41. Fircrest Soccer Club,http://www.fircrestsc.org/,Fircrest, WA 98467,Recreational,,
42. Friday Harbor FC,http://www.fridayharborfc.org/,Friday Harbor, WA 98250,Recreational,,
43. Grandview Youth Soccer,https://www.yysa.org/,Grandview, WA 98930,Recreational,,
44. Granite Falls Youth Soccer Club,http://www.gfysc.com/frameset.php,Granite Falls, WA 98252,Recreational,,
